Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
2390.937768939,,,,,,
2391.037768957,-0.0283,-0.0635,1.0088,-3.615,1.648,-174.073
2391.137769048,-0.0293,-0.0635,1.0083,-3.615,1.648,-174.073
2391.237769102,-0.0288,-0.063,1.0083,-3.615,1.648,-174.073
2391.33776912,-0.0288,-0.0635,1.0078,-3.615,1.648,-174.073
2391.437769229,-0.0278,-0.064,1.0083,-3.615,1.648,-174.073
2391.537769265,-0.0293,-0.0635,1.0078,-3.615,1.648,-174.073
2391.637769283,-0.0288,-0.0635,1.0088,-3.615,1.648,-174.073
2391.737769356,-0.0293,-0.064,1.0078,-3.615,1.648,-174.073
2391.837769391,-0.0293,-0.064,1.0078,-3.615,1.648,-174.073
2391.937769468,-0.0288,-0.0635,1.0073,-3.615,1.648,-174.073
2392.03776949,-0.0288,-0.0635,1.0083,-3.615,1.648,-174.073
2392.137769548,-0.0293,-0.0635,1.0083,-3.615,1.648,-174.073
2392.23776957,-0.0278,-0.0635,1.0098,-3.615,1.648,-174.073
2392.337769628,-0.0293,-0.0635,1.0078,-3.615,1.648,-174.073
2392.43776965,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2392.537769671,-0.0288,-0.064,1.0088,-3.609,1.648,-174.073
2392.637769674,-0.0293,-0.0635,1.0083,-3.609,1.648,-174.073
2392.73776977,-0.0283,-0.0635,1.0083,-3.609,1.648,-174.073
2392.837769773,-0.0288,-0.062,1.0093,-3.609,1.648,-174.073
2392.937769798,-0.0293,-0.064,1.0078,-3.609,1.648,-174.073
2393.037769842,-0.0293,-0.063,1.0083,-3.609,1.648,-174.073
2393.137769868,-0.0293,-0.064,1.0083,-3.609,1.648,-174.073
2393.237769894,-0.0288,-0.0635,1.0083,-3.609,1.648,-174.073
2393.337769956,-0.0278,-0.063,1.0073,-3.609,1.648,-174.073
2393.437770075,-0.0293,-0.0635,1.0083,-3.609,1.648,-174.073
2393.537770082,-0.0293,-0.0635,1.0093,-3.609,1.648,-174.073
2393.637770107,-0.0298,-0.064,1.0078,-3.609,1.648,-174.073
2393.73777017,-0.0293,-0.063,1.0083,-3.615,1.648,-174.073
2393.837770196,-0.0283,-0.064,1.0078,-3.615,1.648,-174.073
2393.937770281,-0.0288,-0.063,1.0088,-3.609,1.648,-174.073
2394.037770292,-0.0293,-0.064,1.0083,-3.609,1.648,-174.073
2394.137770303,-0.0283,-0.0635,1.0078,-3.609,1.648,-174.073
2394.237770333,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2394.337770456,-0.0293,-0.063,1.0078,-3.609,1.648,-174.073
2394.437770522,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2394.537770626,-0.0283,-0.0635,1.0083,-3.609,1.648,-174.073
2394.63777073,-0.0288,-0.0635,1.0083,-3.609,1.648,-174.073
2394.737770834,-0.0288,-0.0635,1.0083,-3.609,1.648,-174.073
2394.837770882,-0.0283,-0.064,1.0083,-3.609,1.648,-174.073
2394.937770935,-0.0283,-0.0635,1.0073,-3.609,1.648,-174.073
2395.037771006,-0.0293,-0.0625,1.0083,-3.609,1.648,-174.073
2395.137771021,-0.0298,-0.0635,1.0083,-3.609,1.648,-174.073
2395.237771129,-0.0283,-0.0635,1.0083,-3.609,1.648,-174.073
2395.337771163,-0.0283,-0.063,1.0088,-3.609,1.648,-174.073
2395.437771253,-0.0283,-0.063,1.0083,-3.609,1.648,-174.073
2395.537771324,-0.0293,-0.064,1.0093,-3.609,1.648,-174.073
2395.637771395,-0.0288,-0.0635,1.0088,-3.609,1.648,-174.073
2395.737771484,-0.0293,-0.063,1.0088,-3.609,1.648,-174.073
2395.837771611,-0.0288,-0.0635,1.0088,-3.609,1.648,-174.073
2395.937771723,-0.0293,-0.063,1.0083,-3.604,1.648,-174.073
2396.037771798,-0.0288,-0.0635,1.0093,-3.604,1.648,-174.073
2396.137771799,-0.0288,-0.0635,1.0088,-3.604,1.648,-174.073
2396.237771837,-0.0293,-0.0645,1.0083,-3.609,1.648,-174.073
2396.337771912,-0.0293,-0.064,1.0098,-3.609,1.648,-174.073
2396.437771932,-0.0283,-0.063,1.0078,-3.609,1.648,-174.073
2396.53777197,-0.0283,-0.063,1.0083,-3.609,1.648,-174.073
2396.637772008,-0.0283,-0.0635,1.0093,-3.609,1.648,-174.073
2396.737772009,-0.0288,-0.0625,1.0083,-3.609,1.648,-174.073
2396.837772028,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2396.937772052,-0.0288,-0.063,1.0088,-3.609,1.648,-174.073
2397.037772131,-0.0293,-0.0635,1.0078,-3.609,1.648,-174.073
2397.137772192,-0.0288,-0.064,1.0078,-3.609,1.648,-174.073
2397.237772216,-0.0283,-0.0635,1.0083,-3.609,1.648,-174.073
2397.337772332,-0.0283,-0.0625,1.0083,-3.609,1.648,-174.073
2397.43777243,-0.0298,-0.064,1.0088,-3.609,1.648,-174.073
2397.537772546,-0.0288,-0.0635,1.0078,-3.609,1.648,-174.073
2397.637772662,-0.0293,-0.0635,1.0078,-3.609,1.648,-174.073
2397.737772668,-0.0283,-0.064,1.0083,-3.609,1.648,-174.073
2397.837772765,-0.0293,-0.063,1.0078,-3.609,1.648,-174.073
2397.937772793,-0.0288,-0.0635,1.0078,-3.609,1.648,-174.073
2398.037772858,-0.0288,-0.0625,1.0088,-3.609,1.648,-174.073
2398.137772867,-0.0288,-0.0635,1.0078,-3.609,1.648,-174.073
2398.237772895,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2398.33777296,-0.0283,-0.0635,1.0083,-3.609,1.648,-174.073
2398.437773025,-0.0283,-0.063,1.0073,-3.609,1.648,-174.073
2398.53777309,-0.0298,-0.064,1.0078,-3.609,1.648,-174.073
2398.637773173,-0.0293,-0.063,1.0093,-3.609,1.648,-174.073
2398.737773201,-0.0293,-0.0635,1.0073,-3.609,1.648,-174.073
2398.837773229,-0.0288,-0.064,1.0078,-3.609,1.648,-174.073
2398.93777326,-0.0288,-0.063,1.0088,-3.609,1.648,-174.073
2399.037773311,-0.0293,-0.0635,1.0078,-3.609,1.648,-174.073
2399.137773398,-0.0293,-0.0635,1.0083,-3.609,1.648,-174.073
2399.237773467,-0.0293,-0.0635,1.0088,-3.609,1.648,-174.073
2399.337773499,-0.0288,-0.064,1.0088,-3.609,1.648,-174.073
2399.437773605,-0.0288,-0.0635,1.0078,-3.609,1.648,-174.073
